"Date","Price","Volume"
"2024-09-24 17:50:00 UTC+0","63791.06097847","12931954916.592854"
"2024-09-24 17:49:00 UTC+0","63789.63230976","12925240124.261913"
"2024-09-24 17:48:00 UTC+0","63775.14094510","12924327226.827360"
"2024-09-24 17:47:00 UTC+0","63738.65117196","12919466364.234983"
"2024-09-24 17:46:00 UTC+0","63757.79767225","12883607158.017899"
"2024-09-24 17:45:00 UTC+0","63744.37717355","12871364703.803970"
"2024-09-24 17:44:00 UTC+0","63778.71294062","12866189139.988575"
"2024-09-24 17:43:00 UTC+0","63748.03134961","12864294606.222637"
"2024-09-24 17:42:00 UTC+0","63745.71522187","12845560729.479040"
"2024-09-24 17:41:00 UTC+0","63759.37365700","12824412754.224464"
"2024-09-24 17:40:00 UTC+0","63718.55259112","12818157071.353928"
"2024-09-24 17:39:00 UTC+0","63697.60570145","12821628077.116991"
"2024-09-24 17:38:00 UTC+0","63682.37356597","12821563025.210659"
"2024-09-24 17:37:00 UTC+0","63708.17446182","12813914461.139582"
"2024-09-24 17:36:00 UTC+0","63717.89160273","12811874623.759092"
"2024-09-24 17:35:00 UTC+0","63690.79273869","12807130240.093494"
"2024-09-24 17:34:00 UTC+0","63688.83891739","12800465298.501670"
"2024-09-24 17:33:00 UTC+0","63683.96057366","12786664563.377440"
"2024-09-24 17:32:00 UTC+0","63656.06721007","12523142875.689259"
"2024-09-24 17:31:00 UTC+0","63594.67953414","12747218168.679798"
"2024-09-24 17:30:00 UTC+0","63605.66760402","12748928849.342420"
"2024-09-24 17:29:00 UTC+0","63622.01441847","12735253126.087175"
"2024-09-24 17:28:00 UTC+0","63647.66158991","12705683564.236387"
"2024-09-24 17:27:00 UTC+0","63588.61938935","12697462209.565240"
"2024-09-24 17:26:00 UTC+0","63451.09533854","12696509946.645649"
"2024-09-24 17:25:00 UTC+0","63440.16721324","12696509946.645649"
"2024-09-24 17:24:00 UTC+0","63430.02105690","12685839368.458328"
"2024-09-24 17:23:00 UTC+0","63390.44019833","12697189874.693794"
"2024-09-24 17:22:00 UTC+0","63396.50142441","12697189874.693794"
"2024-09-24 17:21:00 UTC+0","63391.31337585","12697189874.693794"
"2024-09-24 17:20:00 UTC+0","63369.02694912","12698798369.885307"
"2024-09-24 17:19:00 UTC+0","63397.60983190","12697189874.693794"
"2024-09-24 17:18:00 UTC+0","63391.64158806","12697189874.693794"
"2024-09-24 17:17:00 UTC+0","63399.78911446","12585212594.072157"
"2024-09-24 17:16:00 UTC+0","63381.61258241","12698285880.477482"
"2024-09-24 17:15:00 UTC+0","63351.24661938","12695668808.366596"
"2024-09-24 17:14:00 UTC+0","63388.09147543","12695847766.377026"
"2024-09-24 17:13:00 UTC+0","63391.11064665","12695668544.251251"
"2024-09-24 17:12:00 UTC+0","63388.24523864","12695583164.545390"
"2024-09-24 17:11:00 UTC+0","63387.46701096","12695697860.143768"
"2024-09-24 17:10:00 UTC+0","63380.96397682","12693010101.376938"
"2024-09-24 17:09:00 UTC+0","63378.43359443","12587301605.673435"
"2024-09-24 17:08:00 UTC+0","63351.47128514","12591045727.116860"
"2024-09-24 17:07:00 UTC+0","63361.25382049","12696218917.781778"
"2024-09-24 17:06:00 UTC+0","63363.40413902","12693010101.376938"
"2024-09-24 17:05:00 UTC+0","63348.30425920","12582906455.311861"
"2024-09-24 17:04:00 UTC+0","63344.74378632","12581494201.679516"
"2024-09-24 17:03:00 UTC+0","63325.09477350","12578296192.772669"
"2024-09-24 17:02:00 UTC+0","63310.51906557","12575270466.054014"
"2024-09-24 17:01:00 UTC+0","63267.34551671","12582704475.663712"
"2024-09-24 17:00:00 UTC+0","63278.86284792","12694493155.311651"
"2024-09-24 16:59:00 UTC+0","63305.08089986","12698048764.330248"
